CAMPAIGN_ID,CAMPAIGN_TYPE,CHANNEL_USED,CUSTOMER_SEGMENT,CONVERSION_RATE,ROI_RATE,COST_CLEAN,EFFECIENCY
103,Influencer,Website,Health & Wellness,0.08,6.87,10113,0.0006793236428
104,Social Media,Facebook,Tech Enthusiasts,0.1,7.17,8310,0.0008628158845
105,Influencer,Google Ads,Health & Wellness,0.06,2.17,15073,0.000143966032
106,Social Media,Email,Fashionistas,0.09,3.35,7541,0.0004442381647
107,Influencer,Google Ads,Health & Wellness,0.11,6.5,14875,0.0004369747899
108,Email,Email,Outdoor Adventurers,0.06,7.32,5514,0.001327529924
109,Search,Instagram,Fashionistas,0.05,4.79,15107,0.0003170715562
110,Social Media,YouTube,Fashionistas,0.1,6.4,13712,0.0004667444574
111,Influencer,Facebook,Outdoor Adventurers,0.05,5.39,11789,0.0004572058699
112,Email,Website,Health & Wellness,0.13,7.58,18335,0.0004134169621
113,Display,Google Ads,Health & Wellness,0.02,2.01,19035,0.0001055949567
114,Email,YouTube,Health & Wellness,0.11,4.04,17655,0.0002288303597
115,Email,Google Ads,Fashionistas,0.11,2.72,6710,0.0004053651267
116,Social Media,Facebook,Tech Enthusiasts,0.09,3.7,9899,0.0003737751288
117,Email,Instagram,Health & Wellness,0.14,7.86,7032,0.00111774744
118,Social Media,Website,Tech Enthusiasts,0.05,4.98,5174,0.0009625048319
119,Display,YouTube,Foodies,0.14,3.71,15679,0.0002366222336
120,Display,YouTube,Tech Enthusiasts,0.07,7.65,12143,0.0006299925883
121,Email,Facebook,Outdoor Adventurers,0.02,7.58,19329,0.0003921568627
122,Search,Email,Tech Enthusiasts,0.09,6.78,8854,0.0007657555907
123,Influencer,YouTube,Foodies,0.04,7.61,5232,0.001454510703
124,Display,Instagram,Fashionistas,0.02,3.7,13006,0.0002844840843
125,Email,Website,Foodies,0.13,6.08,5653,0.001075535114
126,Email,Google Ads,Outdoor Adventurers,0.02,5.5,18169,0.000302713413
127,Social Media,Email,Fashionistas,0.08,6.15,13316,0.0004618504055
128,Email,Email,Outdoor Adventurers,0.08,6.68,17847,0.0003742925982
129,Email,Instagram,Health & Wellness,0.06,4.32,10639,0.0004060532005
130,Display,YouTube,Fashionistas,0.03,3.16,10945,0.0002887163088
131,Email,Instagram,Fashionistas,0.11,6.63,5167,0.001283143023
132,Influencer,Google Ads,Outdoor Adventurers,0.15,6.65,8300,0.0008012048193
133,Social Media,Instagram,Fashionistas,0.14,7.54,13469,0.0005598039944
134,Search,Facebook,Foodies,0.1,2.41,19254,0.0001251687961
135,Display,Google Ads,Tech Enthusiasts,0.04,6.46,10704,0.0006035127055
136,Email,Email,Tech Enthusiasts,0.15,3.56,9229,0.0003857406003
137,Social Media,Instagram,Fashionistas,0.1,4.9,14125,0.0003469026549
138,Influencer,Instagram,Foodies,0.04,6.17,8222,0.0007504256872
139,Email,Website,Outdoor Adventurers,0.07,3.77,14226,0.0002650077323
140,Email,Website,Fashionistas,0.06,4.61,18985,0.0002428232815
141,Email,Email,Fashionistas,0.08,3.43,5599,0.0006126093945
142,Influencer,Google Ads,Health & Wellness,0.08,3.48,11952,0.0002911646586
143,Display,Facebook,Tech Enthusiasts,0.05,3.8,14503,0.0002620147556
144,Search,Instagram,Tech Enthusiasts,0.11,2.41,10404,0.0002316416763
145,Social Media,Email,Outdoor Adventurers,0.12,5.86,7484,0.0007830037413
146,Search,Google Ads,Tech Enthusiasts,0.03,4.72,7428,0.0006354334949
147,Influencer,Facebook,Health & Wellness,0.1,5.13,11495,0.0004462809917
148,Influencer,Facebook,Tech Enthusiasts,0.13,2.83,18957,0.0001492852245
149,Display,Instagram,Health & Wellness,0.06,2.94,10772,0.000272929818
150,Search,Instagram,Foodies,0.14,2.15,6896,0.000311774942
151,Search,Facebook,Foodies,0.13,2.98,13318,0.0002237573209
152,Influencer,Website,Tech Enthusiasts,0.06,5.67,7031,0.000806428673
153,Display,Instagram,Tech Enthusiasts,0.06,2.66,5466,0.0004866447128
154,Influencer,Instagram,Foodies,0.11,7.41,15303,0.0004842187806
155,Social Media,Instagram,Fashionistas,0.13,4.41,13157,0.0003351827924
156,Influencer,Instagram,Tech Enthusiasts,0.07,3.31,13197,0.0002508145791
157,Display,Facebook,Outdoor Adventurers,0.09,4.74,19723,0.0002403285504
158,Display,Google Ads,Tech Enthusiasts,0.12,7.24,18903,0.0003830079882
159,Display,Website,Foodies,0.06,4.23,17737,0.0002384845239
160,Social Media,Instagram,Foodies,0.08,5.74,16981,0.0003380248513
161,Search,Website,Fashionistas,0.05,6.55,15993,0.00040955418
162,Social Media,YouTube,Foodies,0.07,5.28,7893,0.0006689471684
163,Email,Google Ads,Tech Enthusiasts,0.04,3.09,9858,0.0003134510043
164,Influencer,Email,Tech Enthusiasts,0.09,7.65,6885,0.001111111111
165,Email,Email,Foodies,0.07,3.17,11587,0.0002735824631
166,Email,Facebook,Fashionistas,0.15,5.94,5202,0.001141868512
167,Search,Instagram,Tech Enthusiasts,0.08,7.24,15651,0.0004625902498
168,Display,Website,Outdoor Adventurers,0.12,8,11879,0.0006734573617
169,Influencer,Email,Tech Enthusiasts,0.03,4.36,12183,0.0003578757285
170,Search,Google Ads,Foodies,0.07,5.41,10690,0.000506080449
171,Social Media,Website,Foodies,0.06,4.62,12886,0.0003585286357
172,Influencer,Google Ads,Health & Wellness,0.09,6.1,10854,0.0005620047909
173,Influencer,YouTube,Foodies,0.11,3.76,7170,0.0005244072524
174,Display,Google Ads,Foodies,0.15,6.9,17414,0.000396232916
175,Search,Instagram,Outdoor Adventurers,0.1,5.29,12272,0.0004310625815
176,Social Media,Website,Foodies,0.09,2.22,6489,0.0003421174295
177,Display,YouTube,Tech Enthusiasts,0.08,6.06,19732,0.0003071153456
178,Social Media,YouTube,Foodies,0.09,3.84,17837,0.000215282839
179,Display,Email,Foodies,0.13,4.91,11954,0.0004107411745
180,Display,Google Ads,Tech Enthusiasts,0.01,6.29,16862,0.0003730281105
181,Display,Email,Fashionistas,0.07,4.29,8076,0.0005312035661
182,Influencer,Facebook,Tech Enthusiasts,0.06,2.58,19143,0.0001347751136
183,Influencer,Instagram,Health & Wellness,0.06,3.2,18350,0.000174386921
184,Social Media,Email,Fashionistas,0.06,3.97,12315,0.0003223710922
185,Influencer,Instagram,Outdoor Adventurers,0.14,7.27,17598,0.0004131151267
186,Email,Instagram,Health & Wellness,0.05,2.57,19545,0.00013149143
187,Email,Email,Health & Wellness,0.13,6.28,14231,0.0004412901412
188,Influencer,Instagram,Tech Enthusiasts,0.11,7.8,15162,0.0005144440047
189,Social Media,Email,Foodies,0.12,6.21,15403,0.000403168214
190,Influencer,Email,Tech Enthusiasts,0.06,5.46,5363,0.001018086892
191,Social Media,Website,Tech Enthusiasts,0.12,2.46,13903,0.0001769402287
192,Influencer,Facebook,Health & Wellness,0.12,5.64,14271,0.0003952070633
193,Social Media,Google Ads,Fashionistas,0.05,4.7,13744,0.000341967404
194,Email,Google Ads,Foodies,0.1,4.28,6093,0.0007024454292
195,Email,Email,Foodies,0.07,3.62,5272,0.000686646434
196,Display,YouTube,Health & Wellness,0.02,7.31,6208,0.001177512887
197,Influencer,Email,Tech Enthusiasts,0.1,3.72,15437,0.0002409794649
198,Display,Instagram,Tech Enthusiasts,0.01,4.37,16368,0.0002669843597
199,Influencer,Email,Outdoor Adventurers,0.14,4.79,10939,0.0004378828046
200,Influencer,Google Ads,Outdoor Adventurers,0.02,2.63,16312,0.0001612309956
201,Search,Facebook,Tech Enthusiasts,0.09,4.22,9518,0.000443370456
202,Influencer,Instagram,Foodies,0.13,5.83,16258,0.0003585926928
203,Display,Email,Tech Enthusiasts,0.1,7.27,7176,0.00101309922
204,Influencer,Google Ads,Foodies,0.15,7.51,14405,0.0005213467546
205,Influencer,Email,Foodies,0.11,7.49,13293,0.0005634544497
206,Email,Website,Tech Enthusiasts,0.12,3.69,14318,0.0002577175583
207,Social Media,Instagram,Health & Wellness,0.05,6.29,8772,0.0007170542636
208,Display,Google Ads,Health & Wellness,0.11,2.87,12864,0.0002231032338
209,Display,Google Ads,Health & Wellness,0.11,3.66,17562,0.0002084045097
210,Display,Email,Health & Wellness,0.08,2.81,17461,0.0001609300727
211,Search,Website,Health & Wellness,0.08,7.94,19366,0.0004099969018
212,Social Media,Instagram,Foodies,0.02,2.39,6907,0.000346025771
213,Social Media,Email,Foodies,0.15,2.72,16540,0.0001644498186
214,Display,Email,Health & Wellness,0.05,7.67,5020,0.001527888446
215,Influencer,YouTube,Health & Wellness,0.06,2.79,13697,0.0002036942396
216,Social Media,Email,Health & Wellness,0.14,4.39,19308,0.0002273668946
217,Search,Google Ads,Fashionistas,0.11,6.06,13185,0.0004596131968
218,Email,Instagram,Tech Enthusiasts,0.05,5.85,15880,0.0003683879093
219,Search,Email,Foodies,0.08,3.91,13524,0.0002891156463
220,Influencer,Email,Fashionistas,0.03,8,10536,0.0007593014427
221,Email,Email,Tech Enthusiasts,0.02,6.73,5941,0.001132805925
222,Email,Instagram,Foodies,0.09,2.98,12239,0.0002434839448
223,Search,Facebook,Fashionistas,0.04,5.36,11973,0.000447673933
224,Display,Google Ads,Foodies,0.1,7.76,5697,0.001362120414
225,Email,Instagram,Outdoor Adventurers,0.12,6.8,6388,0.00106449593
226,Influencer,Facebook,Foodies,0.15,2.83,10330,0.0002739593417
227,Email,Instagram,Foodies,0.08,6.93,5429,0.001276478173
228,Influencer,Google Ads,Health & Wellness,0.15,5.39,16318,0.000330310087
229,Search,Website,Tech Enthusiasts,0.08,6.46,10475,0.0006167064439
230,Search,Instagram,Fashionistas,0.02,5.38,14610,0.0003682409309
231,Email,Facebook,Fashionistas,0.1,5.08,9636,0.0005271897053
232,Email,Google Ads,Fashionistas,0.05,2.89,11450,0.0002524017467
233,Email,Facebook,Tech Enthusiasts,0.02,4.26,14372,0.0002964096855
234,Search,Website,Fashionistas,0.04,5.61,15105,0.0003714001986
235,Display,Facebook,Outdoor Adventurers,0.07,7.47,10319,0.0007239073554
236,Search,Google Ads,Fashionistas,0.04,4.79,5220,0.0009176245211
237,Search,Email,Health & Wellness,0.14,5.12,15820,0.0003236409608
238,Display,Website,Fashionistas,0.01,3.13,18076,0.0001731577783
239,Social Media,Email,Outdoor Adventurers,0.08,5.99,18074,0.0003314152927
240,Email,Google Ads,Tech Enthusiasts,0.1,5.75,6676,0.0008612941881
241,Display,Email,Foodies,0.06,4.24,19928,0.0002127659574
242,Search,Google Ads,Fashionistas,0.11,5.66,14322,0.0003951962016
243,Influencer,Website,Tech Enthusiasts,0.1,3.02,19463,0.0001551662128
244,Influencer,Google Ads,Fashionistas,0.13,5.23,12616,0.0004145529486
245,Influencer,Website,Fashionistas,0.12,2.05,14856,0.000137991384
246,Display,Instagram,Tech Enthusiasts,0.14,3.49,19347,0.0001803897245
247,Social Media,Google Ads,Health & Wellness,0.15,6.53,14124,0.0004623336165
248,Social Media,Google Ads,Outdoor Adventurers,0.15,3.26,9761,0.000333982174
249,Social Media,Google Ads,Foodies,0.1,3.42,5575,0.0006134529148
250,Display,Email,Fashionistas,0.13,5.25,15120,0.0003472222222
251,Display,Website,Fashionistas,0.1,2.15,16108,0.0001334740502
252,Display,Email,Outdoor Adventurers,0.03,5.33,6459,0.0008252051401
253,Search,Email,Tech Enthusiasts,0.08,4.24,16937,0.0002503394934
254,Influencer,Facebook,Foodies,0.07,4.55,11092,0.0004102055536
255,Social Media,Facebook,Fashionistas,0.05,5.55,6772,0.0008195510927
256,Influencer,YouTube,Health & Wellness,0.08,2.27,7331,0.0003096439776
257,Display,YouTube,Foodies,0.02,6.92,16189,0.0004274507382
258,Display,Instagram,Fashionistas,0.06,7.63,11003,0.0006934472417
259,Social Media,Google Ads,Tech Enthusiasts,0.07,7.64,7726,0.0009888687549
260,Search,Website,Tech Enthusiasts,0.03,2.56,15424,0.0001659751037
261,Display,Instagram,Health & Wellness,0.04,5.69,13154,0.0004325680401
262,Email,Google Ads,Foodies,0.04,3.35,9005,0.0003720155469
263,Search,Google Ads,Tech Enthusiasts,0.12,6.44,13481,0.0004777093687
264,Social Media,Email,Health & Wellness,0.05,3.16,9957,0.0003173646681
265,Social Media,Facebook,Foodies,0.07,3.29,12840,0.0002562305296
266,Display,Website,Foodies,0.07,7.1,18572,0.0003822959294
267,Social Media,Website,Outdoor Adventurers,0.07,4.52,7981,0.0005663450695
268,Search,Google Ads,Outdoor Adventurers,0.03,7.66,13134,0.0005832191259
269,Email,Email,Health & Wellness,0.09,3.77,17232,0.0002187790158
270,Social Media,Google Ads,Fashionistas,0.03,3.54,18883,0.0001874702113
271,Display,Instagram,Health & Wellness,0.03,3.39,14168,0.000239271598
272,Search,Email,Foodies,0.09,4.65,8078,0.000575637534
273,Search,Instagram,Tech Enthusiasts,0.06,7.62,19023,0.0004005677338
274,Social Media,Facebook,Foodies,0.08,7.25,12970,0.0005589822668
275,Influencer,Email,Foodies,0.06,7.56,8786,0.0008604598224
276,Influencer,Google Ads,Fashionistas,0.07,3.05,14623,0.0002085755317
277,Email,Instagram,Health & Wellness,0.08,5.2,6326,0.0008220044262
278,Email,Website,Health & Wellness,0.03,5.48,18728,0.0002926099957
279,Email,Email,Fashionistas,0.14,7.56,12494,0.0006050904434
280,Display,Instagram,Health & Wellness,0.02,6.62,11640,0.0005687285223
281,Search,Instagram,Health & Wellness,0.01,3.9,8340,0.0004676258993
282,Display,Email,Outdoor Adventurers,0.11,6.21,10909,0.0005692547438
283,Email,YouTube,Tech Enthusiasts,0.05,3.01,12008,0.0002506662225
284,Email,Instagram,Health & Wellness,0.15,7.68,15178,0.0005059955198
285,Search,YouTube,Health & Wellness,0.02,6.92,8493,0.0008147886495
286,Email,YouTube,Fashionistas,0.06,6.03,11813,0.0005104545839
287,Influencer,Instagram,Outdoor Adventurers,0.14,7.08,11491,0.000616134366
288,Email,Google Ads,Outdoor Adventurers,0.05,5.28,13976,0.000377790498
289,Search,Google Ads,Outdoor Adventurers,0.02,4.47,6300,0.0007095238095
290,Search,Instagram,Health & Wellness,0.04,5.88,9263,0.0006347835474
291,Display,Facebook,Foodies,0.05,2.27,6609,0.0003434710244
292,Search,Website,Tech Enthusiasts,0.04,4.3,5037,0.0008536827477
293,Email,Facebook,Outdoor Adventurers,0.04,2.25,18537,0.0001213788639
294,Social Media,Website,Foodies,0.12,4.53,14238,0.0003181626633
295,Display,Website,Tech Enthusiasts,0.05,2.09,14949,0.0001398086829
296,Influencer,YouTube,Health & Wellness,0.06,5.09,6243,0.0008153131507
297,Display,Instagram,Outdoor Adventurers,0.05,7.2,12470,0.0005773857257
298,Display,Google Ads,Fashionistas,0.06,5.67,14236,0.0003982860354
299,Display,Email,Foodies,0.02,3.71,18677,0.0001986400386
300,Social Media,Email,Tech Enthusiasts,0.06,7.99,17986,0.0004442344045
301,Social Media,Google Ads,Health & Wellness,0.07,6.05,11553,0.0005236735047
302,Display,Website,Fashionistas,0.02,6.46,10856,0.0005950626382
303,Email,Google Ads,Foodies,0.12,6.35,14564,0.0004360065916
304,Email,Facebook,Health & Wellness,0.03,6.82,7215,0.0009452529453
305,Search,Google Ads,Tech Enthusiasts,0.1,2.94,14291,0.0002057238822
306,Display,YouTube,Health & Wellness,0.09,4.71,5189,0.0009076893428
307,Display,YouTube,Tech Enthusiasts,0.03,6.02,8249,0.0007297854285
308,Email,Facebook,Tech Enthusiasts,0.14,7.55,14830,0.0005091031693
309,Display,Website,Health & Wellness,0.1,5.4,5187,0.001041064199
310,Display,Website,Foodies,0.12,5.59,6813,0.0008204902392
311,Search,Instagram,Outdoor Adventurers,0.04,3,15776,0.0001901622718
312,Social Media,Instagram,Tech Enthusiasts,0.06,2.34,7059,0.0003314917127
313,Influencer,Instagram,Tech Enthusiasts,0.11,7.9,5829,0.001355292503
314,Display,Google Ads,Health & Wellness,0.09,4.02,8756,0.0004591137506
315,Email,Website,Health & Wellness,0.14,5.54,13515,0.0004099149094
316,Social Media,Website,Foodies,0.1,3.89,11573,0.0003361271926
317,Social Media,Instagram,Outdoor Adventurers,0.02,4.1,18073,0.0002268577436
318,Social Media,Website,Tech Enthusiasts,0.06,2.69,10446,0.0002575148382
319,Influencer,Email,Fashionistas,0.15,4.24,10042,0.0004222266481
320,Email,YouTube,Fashionistas,0.05,7.45,16416,0.0004538255361
321,Search,Email,Health & Wellness,0.13,2.46,15863,0.0001550778541
322,Display,Email,Foodies,0.02,3.2,5720,0.0005594405594
323,Email,Website,Fashionistas,0.09,7.02,18371,0.0003821239998
324,Email,Instagram,Outdoor Adventurers,0.08,3.15,9735,0.0003235747304
325,Display,Email,Health & Wellness,0.06,3.11,14549,0.0002137603959
326,Influencer,Email,Foodies,0.13,2.51,15540,0.0001615186615
327,Email,Email,Fashionistas,0.03,6.12,6398,0.0009565489215
328,Influencer,YouTube,Health & Wellness,0.01,5.22,8212,0.0006356551388
329,Display,Facebook,Fashionistas,0.08,5.32,10423,0.0005104096709
330,Influencer,Instagram,Health & Wellness,0.1,6.4,6841,0.0009355357404
331,Search,Email,Foodies,0.12,5.92,12716,0.000465555206
332,Influencer,Instagram,Outdoor Adventurers,0.06,2.28,7710,0.0002957198444
333,Display,Google Ads,Foodies,0.13,5.27,18752,0.0002810366894
334,Influencer,Instagram,Fashionistas,0.04,4.99,11848,0.0004211681296
335,Search,YouTube,Tech Enthusiasts,0.05,7.66,5040,0.00151984127
336,Social Media,Facebook,Foodies,0.07,4.14,19395,0.0002134570766
337,Influencer,Website,Foodies,0.02,3.92,6130,0.0006394779772
338,Social Media,Email,Health & Wellness,0.02,7.34,11045,0.0006645540969
339,Display,Website,Foodies,0.08,4.39,8527,0.0005148352293
340,Display,Website,Tech Enthusiasts,0.13,2.59,9037,0.0002865995352
341,Influencer,Facebook,Outdoor Adventurers,0.01,4.16,9524,0.0004367912642
342,Search,Instagram,Foodies,0.07,4.25,5467,0.0007773916225
343,Social Media,Email,Health & Wellness,0.02,2.15,10894,0.0001973563429
344,Display,Email,Foodies,0.02,5.82,8583,0.0006780845858
345,Email,Website,Outdoor Adventurers,0.03,5.59,16700,0.0003347305389
346,Email,Google Ads,Outdoor Adventurers,0.13,6.59,16452,0.0004005592025
347,Email,YouTube,Tech Enthusiasts,0.1,7.77,15069,0.0005156281107
348,Display,Website,Foodies,0.03,7.41,13272,0.000558318264
349,Email,Facebook,Outdoor Adventurers,0.07,4.13,19675,0.0002099110546
350,Email,Website,Foodies,0.04,5.55,10541,0.0005265155109
351,Social Media,Email,Fashionistas,0.13,4.63,10946,0.0004229855655
352,Influencer,Instagram,Tech Enthusiasts,0.08,7.59,8298,0.0009146782357
353,Social Media,YouTube,Health & Wellness,0.13,2.4,15499,0.0001548486999
354,Search,YouTube,Outdoor Adventurers,0.03,3.75,16232,0.0002310251355
355,Influencer,Website,Tech Enthusiasts,0.04,5.4,7495,0.0007204803202
356,Email,Facebook,Foodies,0.06,6.38,11373,0.0005609777543
357,Social Media,YouTube,Foodies,0.11,3.44,13928,0.0002469844917
358,Email,Google Ads,Health & Wellness,0.12,3.46,13130,0.0002635186596
359,Email,Instagram,Tech Enthusiasts,0.08,4.05,17853,0.0002268526298
360,Social Media,Google Ads,Foodies,0.1,4.28,15918,0.0002688779997
361,Search,Instagram,Outdoor Adventurers,0.13,3,10476,0.0002863688431
362,Influencer,Facebook,Fashionistas,0.03,4.45,14552,0.00030579989
363,Social Media,Facebook,Foodies,0.03,7.73,5487,0.001408784399
364,Social Media,Google Ads,Foodies,0.08,7.57,19702,0.0003842249518
365,Social Media,Email,Tech Enthusiasts,0.12,3.59,12050,0.0002979253112
366,Social Media,Facebook,Health & Wellness,0.07,7.14,15748,0.0004533909068
367,Email,Google Ads,Foodies,0.05,5.13,18419,0.000278516749
368,Influencer,Facebook,Foodies,0.15,3.57,9913,0.0003601331585
369,Influencer,Instagram,Tech Enthusiasts,0.09,3.75,9187,0.0004081854795
370,Social Media,Email,Fashionistas,0.12,7.61,12157,0.0006259768035
371,Display,Website,Tech Enthusiasts,0.08,3.37,7789,0.0004326614456
